sample_id,source_text,translation
S001,Unstoppable Force,막을 수 없는 힘
S002,Nemean Gauntlets,네메아 건틀릿
S003,Icarus Drifter Legs,이카루스 드리프터 다리
S004,Light and Dark Saga Exotics,빛과 어둠 사가 이국적인 것들
S005,Dreaming Spectrum,꿈꾸는 스펙트럼
S006,Ana: Black Box,아나: 블랙 박스
S007,Transmatter Components,변환물질 부품
S008,The Empty Tank: Legend,빈 탱크: 전설
S009,Bounty Hunter: Tangled Shore,현상금 사냥꾼: 얽힌 해안
S010,Swordmaster's Gauntlets,검술가의 건틀릿
S011,Court of Blades (Wrathborn): Expert,칼날의 궁정(분노에 물든 자): 전문가
S012,(Heroic) Dark Alliance,(영웅) 어둠의 동맹
S013,Traveler's Judgment 5,방랑자의 심판 5
S014,Blackletter Greaves,검은글자 경갑
S015,Event Ticket,이벤트 티켓
S016,Venom Unrivaled Strides,맹독의 비할 데 없는 발걸음
S017,Markov Chain,마르코프 연쇄
S018,Imponent III,위압적인 삼
S019,Splicer Vandal's Armory,스플라이서 반달의 무기고
S020,Phantasmic Fighter,환영 전사
S021,The Ritual: Master,의식: 달인
S022,Vex Shock,벡스 충격
S023,Weapons Intel,무기 정보
S024,Cottontail Shell,솜꼬리 껍질
S025,Adds a nest of spiders to your transmat effects.,전송 효과에 거미 둥지를 추가합니다.
S026,Kill each set of Glyphkeepers in Exhibition within 5 seconds of each other.,전시관에서 각 글리프 수호자 무리를 서로 5초 이내에 처치하라.
S027,Your equipped Scout Rifles and Pulse Rifles fire shield-piercing rounds and stun [Shield-Piercing] Barrier Champions.,장착한 정찰 소총과 펄스 소총이 방패 관통 탄환을 발사하고 [방패 관통] 장벽 챔피언을 기절시킵니다.
S028,"By aligning with the Festival Flame, you do more damage with Void power.","축제의 불꽃과 조화를 이루면, 공허의 힘으로 더 큰 피해를 준다."
S029,Defeat combatants with precision final blows in Nightmare Hunts.,나이트메어 헌트에서 정밀한 결정타로 전투원을 처치하라.
S030,Adds a phosphene appearance to your transmat effects.,전송 효과에 포스펜 외형을 추가합니다.
S031,Final blows with this weapon fill the magazine of the equipped Energy weapon from reserves.,이 무기로 최후의 일격을 가하면 장착한 에너지 무기의 탄창이 예비 탄약에서 채워진다.
S032,Greatly increases charge rate and guard resistance.,충전 속도와 방어 저항을 크게 증가시킨다.
S033,Faster ready and stow speed for Trace Rifles.,추적 소총의 준비 및 넣기 속도 증가.
S034,Dimensional Tithes,차원 십일조
